measurement,color_band,Microcebus griseorufus,Microcebus murinus,Microcebus rufus
lowdorsal_ns,R,0.2070116501,0.1534980902,0.1596261148
lowdorsal_ns,G,0.1865409131,0.1335494285,0.1200836827
lowdorsal_ns,B,0.04819493714,0.04047542214,0.01425412883
stripe,R,0.1521225974,0.1330434134,0.1174552623
stripe,G,0.1247644866,0.1116515354,0.08379987467
stripe,B,0.02573911019,0.03213955812,0.009678534606
ventral_patch,R,0.6356497126,0.3689975468,0.2837024611
ventral_patch,G,0.6541265851,0.3905957726,0.270222487
ventral_patch,B,0.2478404088,0.1633507741,0.06779185459
tail,R,0.2736963337,0.1928941326,0.1389883534
tail,G,0.2117545881,0.1552052855,0.1031824688
tail,B,0.03238030068,0.0388328425,0.01646580496
interorb_er,R,0.4276051504,0.2678959825,0.2422567884
interorb_er,G,0.4129508269,0.2546653357,0.2037756126
interorb_er,B,0.1274200796,0.0842608495,0.03998991378
supraorb_er,R,0.3074358534,0.1525961927,0.1413625291
supraorb_er,G,0.2579158094,0.1146007566,0.08867701803
supraorb_er,B,0.04651619156,0.01720107884,0.006162370516
